ticker,date,sector,52WeekChange,ask,bid,52WeekHigh,52WeekLow,dailyOpen,previousClose,dailyVolume,quickRatio,10DayAverageVolume,marketCap,dayHigh,dayLow
AAPL,2023-07-13,,,,,,,,,,,,,,
MSFT,2023-07-13,,,,,,,,,,,,,,
GOOG,2023-07-13,,,,,,,,,,,,,,
AMZN,2023-07-13,,,,,,,,,,,,,,
NVDA,2023-07-13,,,,,,,,,,,,,,
TSLA,2023-07-13,,,,,,,,,,,,,,
BRK-B,2023-07-13,,,,,,,,,,,,,,
META,2023-07-13,,,,,,,,,,,,,,
V,2023-07-13,,,,,,,,,,,,,,
UNH,2023-07-13,,,,,,,,,,,,,,
LLY,2023-07-13,,,,,,,,,,,,,,
WMT,2023-07-13,,,,,,,,,,,,,,
JPM,2023-07-13,,,,,,,,,,,,,,
JNJ,2023-07-13,,,,,,,,,,,,,,
XOM,2023-07-13,,,,,,,,,,,,,,
MA,2023-07-13,,,,,,,,,,,,,,
PG,2023-07-13,,,,,,,,,,,,,,
AVGO,2023-07-13,,,,,,,,,,,,,,
ORCL,2023-07-13,,,,,,,,,,,,,,
HD,2023-07-13,,,,,,,,,,,,,,
MRK,2023-07-13,,,,,,,,,,,,,,
CVX,2023-07-13,,,,,,,,,,,,,,
KO,2023-07-13,,,,,,,,,,,,,,
PEP,2023-07-13,,,,,,,,,,,,,,
ABBV,2023-07-13,,,,,,,,,,,,,,
COST,2023-07-13,,,,,,,,,,,,,,
BAC,2023-07-13,,,,,,,,,,,,,,
ADBE,2023-07-13,,,,,,,,,,,,,,
MCD,2023-07-13,,,,,,,,,,,,,,
CSCO,2023-07-13,,,,,,,,,,,,,,
CRM,2023-07-13,,,,,,,,,,,,,,
PFE,2023-07-13,,,,,,,,,,,,,,
TMO,2023-07-13,,,,,,,,,,,,,,
NFLX,2023-07-13,,,,,,,,,,,,,,
ABT,2023-07-13,,,,,,,,,,,,,,
AMD,2023-07-13,,,,,,,,,,,,,,
DHR,2023-07-13,,,,,,,,,,,,,,
CMCSA,2023-07-13,,,,,,,,,,,,,,
TMUS,2023-07-13,,,,,,,,,,,,,,
NKE,2023-07-13,,,,,,,,,,,,,,
DIS,2023-07-13,,,,,,,,,,,,,,
WFC,2023-07-13,,,,,,,,,,,,,,
TXN,2023-07-13,,,,,,,,,,,,,,
VZ,2023-07-13,,,,,,,,,,,,,,
UPS,2023-07-13,,,,,,,,,,,,,,
PM,2023-07-13,,,,,,,,,,,,,,
NEE,2023-07-13,,,,,,,,,,,,,,
RTX,2023-07-13,,,,,,,,,,,,,,
MS,2023-07-13,,,,,,,,,,,,,,
INTC,2023-07-13,,,,,,,,,,,,,,
HON,2023-07-13,,,,,,,,,,,,,,
BMY,2023-07-13,,,,,,,,,,,,,,
LOW,2023-07-13,,,,,,,,,,,,,,
QCOM,2023-07-13,,,,,,,,,,,,,,
BA,2023-07-13,,,,,,,,,,,,,,
AXP,2023-07-13,,,,,,,,,,,,,,
SPGI,2023-07-13,,,,,,,,,,,,,,
INTU,2023-07-13,,,,,,,,,,,,,,
CAT,2023-07-13,,,,,,,,,,,,,,
UNP,2023-07-13,,,,,,,,,,,,,,
COP,2023-07-13,,,,,,,,,,,,,,
IBM,2023-07-13,,,,,,,,,,,,,,
AMAT,2023-07-13,,,,,,,,,,,,,,
AMGN,2023-07-13,,,,,,,,,,,,,,
DE,2023-07-13,,,,,,,,,,,,,,
GE,2023-07-13,,,,,,,,,,,,,,
LMT,2023-07-13,,,,,,,,,,,,,,
ISRG,2023-07-13,,,,,,,,,,,,,,
PLD,2023-07-13,,,,,,,,,,,,,,
T,2023-07-13,,,,,,,,,,,,,,
NOW,2023-07-13,,,,,,,,,,,,,,
SYK,2023-07-13,,,,,,,,,,,,,,
SBUX,2023-07-13,,,,,,,,,,,,,,
GS,2023-07-13,,,,,,,,,,,,,,
ELV,2023-07-13,,,,,,,,,,,,,,
BLK,2023-07-13,,,,,,,,,,,,,,
SCHW,2023-07-13,,,,,,,,,,,,,,
MDLZ,2023-07-13,,,,,,,,,,,,,,
BKNG,2023-07-13,,,,,,,,,,,,,,
TJX,2023-07-13,,,,,,,,,,,,,,
GILD,2023-07-13,,,,,,,,,,,,,,
ADI,2023-07-13,,,,,,,,,,,,,,
MMC,2023-07-13,,,,,,,,,,,,,,
ADP,2023-07-13,,,,,,,,,,,,,,
AMT,2023-07-13,,,,,,,,,,,,,,
CVS,2023-07-13,,,,,,,,,,,,,,
VRTX,2023-07-13,,,,,,,,,,,,,,
C,2023-07-13,,,,,,,,,,,,,,
UBER,2023-07-13,,,,,,,,,,,,,,
LRCX,2023-07-13,,,,,,,,,,,,,,
CI,2023-07-13,,,,,,,,,,,,,,
HCA,2023-07-13,,,,,,,,,,,,,,
MO,2023-07-13,,,,,,,,,,,,,,
ABNB,2023-07-13,,,,,,,,,,,,,,
ZTS,2023-07-13,,,,,,,,,,,,,,
PGR,2023-07-13,,,,,,,,,,,,,,
PANW,2023-07-13,,,,,,,,,,,,,,
FI,2023-07-13,,,,,,,,,,,,,,
REGN,2023-07-13,,,,,,,,,,,,,,
SO,2023-07-13,,,,,,,,,,,,,,
