ticker,date,sector,52WeekChange,ask,bid,52WeekHigh,52WeekLow,dailyOpen,previousClose,dailyVolume,quickRatio,10DayAverageVolume,marketCap
LRCX,2023-07-12,Technology,50.34101,0.0,0.0,651.01,299.59,628.96,619.42,416410,1.943,1124880,83159146496
CI,2023-07-12,Healthcare,2.9187202,271.89,271.53,340.11,240.5,277.5,281.74,914188,0.591,1129300,81371840512
HCA,2023-07-12,Healthcare,74.05351,295.7,295.55,304.86,164.47,295.77,294.69,360100,0.87,1016670,81154007040
MO,2023-07-12,Consumer Defensive,8.770264,45.82,45.81,48.11,40.35,45.74,45.64,1673880,0.625,8030210,83068657664
ABNB,2023-07-12,Consumer Cyclical,43.810116,0.0,0.0,144.63,81.91,139.35,137.54,2845669,0.883,4888010,86332268544
ZTS,2023-07-12,Healthcare,1.3884783,172.56,172.61,187.82,124.15,171.95,170.14,381606,1.721,1431560,79552577536
PGR,2023-07-12,Financial Services,12.561739,132.95,132.89,149.87,109.42,132.9,132.17,594954,0.266,1741830,78139686912
PANW,2023-07-12,Technology,52.143253,0.0,0.0,258.88,132.22,251.14,250.23,6481497,0.653,3666000,72337768448
FI,2023-07-12,Technology,38.22793,127.97,127.94,128.03,89.26,128.0,126.99,566702,0.233,2483890,78799626240
REGN,2023-07-12,Healthcare,19.070793,0.0,0.0,837.55,563.82,717.75,716.83,237469,4.541,973480,79094325248
SO,2023-07-12,Utilities,-0.6601095,70.99,70.96,80.57,60.71,70.93,70.73,1025525,0.321,3898160,77418397696
