ticker,date,sector,52WeekChange,ask,bid,52WeekHigh,52WeekLow,dailyOpen,previousClose,dailyVolume,quickRatio,10DayAverageVolume,marketCap,dayHigh,dayLow
MRK,2023-07-16,Healthcare,16.244316,109.33,107.34,119.65,84.52,106.26,106.32,7209939,0.95,7274340,272368795648,107.6778,106.26
CVX,2023-07-16,Energy,10.03009,157.0,153.58,189.68,139.08,157.01,157.51,7065664,1.028,6363080,287110135808,156.63,153.31
KO,2023-07-16,Consumer Defensive,-1.2165427,61.0,60.9,65.47,54.02,60.14,60.35,11634211,0.809,13991090,263366918144,61.04,60.09
PEP,2023-07-16,Consumer Defensive,11.856651,188.68,187.9,196.88,160.98,187.86,187.53,4467604,0.605,5539740,259086123008,188.625,187.14
ABBV,2023-07-16,Healthcare,-9.065991,136.0,135.9,168.11,130.96,134.73,133.59,5544137,0.659,5666950,239961079808,136.615,134.12
COST,2023-07-16,Consumer Defensive,5.888045,546.67,546.01,564.75,447.9,538.71,538.45,1828704,0.511,1794730,242269011968,546.86,538.1
BAC,2023-07-16,Financial Services,-9.764415,29.14,29.1,38.6,26.32,30.0,29.67,58720333,,,,,
ADBE,2023-07-16,Technology,37.20385,514.5,514.17,523.79,274.73,517.34,517.28,2303710,1.033,2577630,234659528704,523.785,512.67
MCD,2023-07-16,Consumer Cyclical,16.84494,295.25,294.94,299.1,230.58,295.25,295.22,1550122,1.251,2035430,215333928960,296.05,294.0301
CSCO,2023-07-16,Technology,18.26291,50.4,50.25,52.56,38.6,50.42,51.53,19566594,1.107,16779710,205301530624,50.97,50.055
CRM,2023-07-16,Technology,36.59539,230.5,229.33,232.2,126.34,229.7,230.37,4278735,0.86,5357390,223367413760,232.07,228.15
PFE,2023-07-16,Healthcare,-28.433496,36.32,36.26,54.93,35.35,36.3,36.06,17915147,0.969,21217250,205037649920,36.49,36.005
TMO,2023-07-16,Healthcare,1.6514301,531.0,528.4,611.06,475.77,529.67,526.65,953034,0.805,1222450,204185255936,531.925,525.31
NFLX,2023-07-16,Communication Services,131.46344,442.91,442.51,456.48,188.4,452.785,450.38,7195860,1.065,5494400,196447109120,456.48,439.7
ABT,2023-07-16,Healthcare,0.85030794,107.92,107.7,115.69,93.25,108.0,107.74,4016006,1.07,4502140,187684880384,108.46,107.18
AMD,2023-07-16,Technology,42.379963,116.03,116.0,132.83,54.57,116.17,115.92,91927197,1.518,52244740,186705149952,122.12,115.25
DHR,2023-07-16,Healthcare,-2.6430845,247.92,240.7,303.82,221.22,239.83,238.81,2909798,1.349,2538040,177486839808,241.93,239.04
CMCSA,2023-07-16,Communication Services,3.6260486,42.32,41.89,43.72,28.39,41.93,42.56,12903169,0.55,14752070,175132540928,42.2653,41.8
TMUS,2023-07-16,Communication Services,3.8744688,141.0,139.69,154.38,124.92,138.97,140.69,4053267,0.603,3721970,167600635904,140.33,138.47
NKE,2023-07-16,Consumer Cyclical,3.857994,108.2,107.89,131.31,82.22,107.94,107.84,6933557,1.6,8589900,165918064640,108.635,107.19
DIS,2023-07-16,Communication Services,-7.3981166,88.55,88.45,126.48,84.07,90.41,90.47,17769989,0.826,12895980,161935327232,90.49,88.435
WFC,2023-07-16,Financial Services,5.753827,43.62,43.36,48.84,35.25,44.75,43.71,30897627,,,,,
TXN,2023-07-16,Technology,13.264858,180.99,180.51,186.3,145.97,181.61,183.12,3701290,3.933,4305080,164149231616,183.03,180.325
VZ,2023-07-16,Communication Services,-32.358788,34.07,34.05,51.17,33.72,34.43,34.64,31576021,0.54,23450930,142977695744,34.5,33.945
UPS,2023-07-16,Industrials,2.8764963,185.24,184.5,209.39,154.87,184.78,185.36,2213650,1.228,3212430,159117213696,185.665,183.9
PM,2023-07-16,Consumer Defensive,11.160767,99.89,99.09,105.62,82.85,100.37,100.49,2938467,0.306,3892500,154443890688,100.65,99.49
NEE,2023-07-16,Utilities,-5.5605707,74.08,72.85,91.35,69.64,73.48,73.71,6463743,0.245,7153730,148114341888,73.75,72.79
RTX,2023-07-16,Industrials,7.093537,96.95,96.0,104.91,80.27,97.09,97.17,3454627,0.715,3929330,140517834752,97.15,95.73
MS,2023-07-16,Financial Services,8.7750435,86.48,85.62,100.99,74.67,87.41,86.21,7732694,1.67,7508490,143262023680,87.41,85.56
INTC,2023-07-16,Technology,-14.363212,33.17,33.16,40.73,24.59,33.78,33.87,30438659,1.152,32264410,138268655616,33.87,33.0
HON,2023-07-16,Industrials,20.584965,206.08,205.76,220.96,166.63,207.91,208.71,2161287,0.854,2424940,137222651904,207.84,205.5
BMY,2023-07-16,Healthcare,-16.002172,62.02,61.95,81.44,61.57,62.02,62.28,9234522,1.188,7977770,130126651392,62.34,61.58
LOW,2023-07-16,Consumer Cyclical,23.117495,242.0,228.2,235.07,176.5,229.95,229.54,1536023,0.176,2375500,134037299200,230.86,228.485
QCOM,2023-07-16,Technology,-13.501305,122.9,122.21,156.66,101.47,123.0,123.12,7892158,1.318,6703320,136531836928,123.18,121.13
BA,2023-07-16,Industrials,44.27295,213.39,213.25,223.91,120.99,217.0,216.85,4294849,0.294,4677230,128211705856,217.016,212.82
AXP,2023-07-16,Financial Services,21.822525,174.0,173.01,182.15,130.65,175.36,174.24,1829557,1.564,2322490,128870563840,175.66,172.52
SPGI,2023-07-16,Financial Services,20.459806,416.96,415.12,417.36,279.32,412.62,412.03,1282643,0.607,1131570,133459214336,417.36,412.29
INTU,2023-07-16,Technology,24.65937,484.4,482.88,490.83,352.63,479.0,481.35,1158078,1.13,1449760,135546232832,486.48,478.433
CAT,2023-07-16,,,,,,,,,,,,,,
UNP,2023-07-16,Industrials,0.36628246,212.67,210.5,242.36,183.69,210.37,210.61,1603021,0.489,1997250,128639549440,211.66,209.87
COP,2023-07-16,Energy,25.88457,107.4,107.09,138.49,84.65,110.07,110.55,4738178,1.204,5586140,129585324032,110.23,106.45
IBM,2023-07-16,Technology,-3.4243107,134.76,133.4,153.21,115.55,133.91,133.92,2861496,0.982,3026740,121133195264,133.93,132.94
AMAT,2023-07-16,Technology,53.253162,143.85,142.38,146.69,71.12,144.57,142.65,6058757,1.372,5426120,119865491456,145.3899,142.38
AMGN,2023-07-16,Healthcare,-6.729823,228.39,226.8,296.67,211.71,227.84,227.66,2044668,2.624,2305320,121521987584,228.66,225.98
DE,2023-07-16,Industrials,39.15422,415.0,414.01,448.4,296.95,413.18,409.55,984373,1.722,1180000,121560334336,414.92,409.08
GE,2023-07-16,Industrials,121.84152,110.56,110.0,111.97,48.30601,111.0,111.28,2717867,0.802,3977440,120236072960,111.21,110.03
LMT,2023-07-16,Industrials,19.89,464.62,463.66,508.1,373.67,466.0,466.38,933202,1.072,755820,117587894272,466.46,462.36
ISRG,2023-07-16,Healthcare,71.628044,356.56,354.0,355.38,180.07,347.5,346.97,2072816,4.398,1656000,124040896512,355.31,346.4
PLD,2023-07-16,Real Estate,7.172823,128.01,127.32,138.86,98.03,126.46,126.95,2655387,0.338,3114470,117972779008,127.865,125.82
T,2023-07-16,Communication Services,-29.371649,14.52,14.5,21.53,14.29,14.8,15.12,101745447,0.301,42769010,103660503040,14.81,14.29
NOW,2023-07-16,Technology,36.003185,585.0,579.76,584.2625,337.0,577.0,577.45,916484,1.045,1049810,118246621184,584.2625,576.0
SYK,2023-07-16,Healthcare,59.787605,303.19,301.63,306.93,188.84,299.64,299.64,1310997,0.848,908200,114804842496,304.85,299.75
SBUX,2023-07-16,Consumer Cyclical,26.64839,101.59,101.49,115.48,80.0,101.77,101.6,3939769,0.508,6090630,116485701632,102.08,100.985
GS,2023-07-16,Financial Services,8.275247,326.6,325.61,389.58,287.75,331.99,328.68,1815195,1.54,2298940,108441214976,332.475,325.21
ELV,2023-07-16,Healthcare,-8.749998,438.5,420.11,549.52,412.0,435.19,417.63,2512881,1.304,1705330,104003584000,443.54,435.19
BLK,2023-07-16,Financial Services,21.839905,729.0,725.01,785.65,503.12,743.0,739.8,1064180,1.042,679840,109031964672,744.0,722.54
SCHW,2023-07-16,Financial Services,-4.4415417,58.59,58.4,86.63,45.0,60.26,59.93,12775204,0.388,10158280,106508738560,60.26,58.48
MDLZ,2023-07-16,Consumer Defensive,20.34632,72.39,72.29,78.59,54.72,71.97,71.83,4556767,0.429,6584030,98434514944,72.335,71.6
BKNG,2023-07-16,Consumer Cyclical,64.88018,2950.38,2863.45,2867.76,1616.85,2844.79,2834.53,238645,1.495,287660,105885958144,2867.76,2828.055
TJX,2023-07-16,Consumer Cyclical,40.386845,85.0,84.47,86.43,59.78,84.66,84.94,3865235,0.537,4504620,97593466880,84.94,84.0
GILD,2023-07-16,Healthcare,26.748764,77.68,77.19,89.74,59.27,76.61,76.71,6072293,1.014,5001610,96282951680,77.635,76.46
ADI,2023-07-16,Technology,23.652172,194.43,191.97,199.44,133.48,197.375,198.27,2922341,1.056,2949010,96257212416,197.385,191.495
MMC,2023-07-16,Financial Services,25.864506,187.31,186.16,189.02,147.61,187.02,186.56,2248142,1.02,1419900,92374302720,187.41,185.55
ADP,2023-07-16,Industrials,8.594012,229.79,229.41,274.92,201.46,227.2,227.16,1185648,0.096,1412370,94799339520,229.67,226.62
AMT,2023-07-16,Real Estate,-22.178537,194.48,193.71,282.47,178.17,196.1,196.84,1712215,0.382,1804010,90398359552,196.63,193.69
CVS,2023-07-16,Healthcare,-24.29738,71.5,71.38,107.26,66.34,72.0,71.22,9700216,0.614,8675620,91511291904,72.3,71.31
VRTX,2023-07-16,Healthcare,23.309792,355.0,352.0,354.94,271.61,348.84,349.02,961397,3.953,955700,90848886784,353.4,348.215
C,2023-07-16,Financial Services,-8.627921,45.89,45.75,54.56,40.01,48.48,47.68,38634533,,,,,
UBER,2023-07-16,Technology,98.18423,45.01,44.77,46.4,22.11,45.905,45.64,22054795,0.858,18666980,90566393856,46.4,44.56
LRCX,2023-07-16,Technology,50.902737,647.5,638.75,651.01,299.59,642.12,638.3,919115,1.943,1064160,85784150016,647.18,636.09
CI,2023-07-16,Healthcare,5.369854,287.57,279.84,340.11,240.5,277.94,270.06,2063798,0.591,1451130,83660767232,284.9,277.94
HCA,2023-07-16,Healthcare,72.72992,301.48,291.66,304.86,171.22,296.01,295.98,1214553,0.87,1057430,81580392448,299.99,295.165
MO,2023-07-16,Consumer Defensive,7.6177,46.0,45.48,48.11,40.35,45.67,45.58,4860620,0.625,7645350,81201471488,45.68,45.35
ABNB,2023-07-16,Consumer Cyclical,46.7595,143.85,143.5,144.63,81.91,140.25,140.09,6728498,0.883,5162360,88292417536,143.57,139.69
ZTS,2023-07-16,Healthcare,0.25035143,172.44,171.75,187.82,124.15,171.66,171.0,2455886,1.721,1467670,79571066880,173.37,171.22
PGR,2023-07-16,Financial Services,5.8935523,117.22,115.7,149.87,109.42,114.2,114.78,10076724,0.232,4038930,68357185536,117.3601,111.41
PANW,2023-07-16,Technology,43.084763,241.5,241.2,258.88,132.22,238.5,239.01,5733315,0.653,5595630,73790578688,242.83,238.08
FI,2023-07-16,Technology,36.213684,130.52,125.29,128.85,91.55,128.48,128.68,1829522,0.233,2315150,79015682048,128.65,127.54
REGN,2023-07-16,Healthcare,22.468042,721.0,716.0,837.55,563.82,721.12,720.98,621537,4.541,658050,78828830720,721.35,715.22
SO,2023-07-16,Utilities,-0.43241978,71.6,70.7,80.57,60.71,71.29,71.48,2810435,0.321,3627410,77832749056,71.67,71.015
