ticker,date,sector,52WeekChange,ask,bid,52WeekHigh,52WeekLow,dailyOpen,previousClose,dailyVolume,quickRatio,10DayAverageVolume,marketCap,dayHigh,dayLow
AAPL,2023-07-16,Technology,29.659344,190.73,190.72,194.48,124.17,190.23,190.54,41616242,0.764,50554710,2999305895936,191.175,189.63
MSFT,2023-07-16,Technology,35.787605,347.0,346.85,351.47,213.43,347.59,342.66,28352729,1.655,24520570,2567028342784,351.43,344.31
GOOG,2023-07-16,Communication Services,14.366304,125.95,125.9,129.55,83.45,125.13,124.83,20499780,2.195,21962430,1594102120448,127.09,124.9
AMZN,2023-07-16,Consumer Cyclical,18.389595,134.55,134.5,146.57,81.43,134.06,134.3,54487090,0.689,48246190,1381870600192,136.64,134.12
NVDA,2023-07-16,Technology,182.3986,456.6,456.5,480.88,108.13,465.8281,459.77,77207533,2.672,40634930,1123084402688,480.4,450.6001
TSLA,2023-07-16,Consumer Cyclical,16.975224,281.77,281.75,314.66666,101.81,277.01,277.9,120062369,0.932,113694100,891833876480,285.3,276.31
BRK-B,2023-07-16,Financial Services,23.467028,341.5,341.1,346.44,259.85,344.99,343.54,2675172,1.287,2904740,745111093248,345.44,340.51
META,2023-07-16,Communication Services,84.69772,309.5,309.22,316.24,88.09,311.79,313.41,23054108,1.91,28949580,791550427136,314.88,307.3612
V,2023-07-16,Financial Services,17.349552,243.75,243.16,244.74,174.6,244.73,243.31,4941178,1.082,5533090,509274324992,244.73,241.96
UNH,2023-07-16,Healthcare,-7.547605,480.55,478.3,558.1,445.68,462.55,447.75,11379333,0.569,5234800,447053660160,485.0,460.11
LLY,2023-07-16,Healthcare,39.683628,450.0,449.0,469.87,296.32,441.1,434.7,2955014,0.789,2703330,426660233216,450.45,441.3
WMT,2023-07-16,Consumer Defensive,20.105612,154.79,154.36,159.12,120.06,154.12,154.13,3475822,0.191,4757420,416474628096,154.665,153.58
JPM,2023-07-16,Financial Services,33.974422,149.73,149.63,152.89,101.28,151.55,148.87,27028429,,,,,
JNJ,2023-07-16,Healthcare,-8.2419815,160.47,159.87,181.04,150.11,159.18,158.81,5362237,0.678,6324250,415458951168,160.225,158.9801
XOM,2023-07-16,Energy,17.235767,101.05,101.0,119.92,83.89,104.05,104.54,28181920,1.072,16900800,408098406400,104.05,100.53
MA,2023-07-16,Financial Services,21.600555,403.15,401.62,403.49,276.87,402.12,400.56,1978498,0.768,2416580,381430169600,403.49,400.295
PG,2023-07-16,Consumer Defensive,4.7030926,150.0,149.8,158.11,122.18,149.27,148.95,6128878,0.344,6558730,353663352832,150.63,148.74
AVGO,2023-07-16,Technology,80.951416,889.92,888.6,921.78,415.07,886.16,890.36,1851036,1.942,2186950,366703640576,903.22,886.16
ORCL,2023-07-16,Technology,69.87608,119.66,119.2,127.54,60.78,118.18,117.45,7723843,0.775,8257710,323729784832,119.97,117.7
HD,2023-07-16,Consumer Cyclical,8.002043,317.5,316.51,347.25,265.61,314.84,314.6,2942129,0.215,3262620,318202773504,316.9,314.275
