ticker,date,sector,52WeekChange,ask,bid,52WeekHigh,52WeekLow,dailyOpen,previousClose,dailyVolume,quickRatio,10DayAverageVolume,marketCap
AAPL,7/11/23,Technology,29.273487,188.24,188.12,194.48,124.17,189.16,188.61,46509718,0.764,51012280,2.95825E+12
MSFT,7/11/23,Technology,31.556665,332.57,332.52,351.47,213.43,331.06,331.83,26635569,1.655,22791880,2.47208E+12
GOOG,7/11/23,Communication Services,4.9230337,117.71,117.65,129.55,83.45,116.76,116.87,17940869,2.195,21102290,1.49168E+12
AMZN,7/11/23,Consumer Cyclical,16.648556,128.93,128.87,146.57,81.43,127.75,127.13,49842486,0.689,45253080,1.32133E+12
NVDA,7/11/23,Technology,179.64258,424.22,423.77,439.9,108.13,424.81,421.8,28118201,2.672,37582070,1.0474E+12
TSLA,7/11/23,Consumer Cyclical,13.816237,269.85,269.83,314.66666,101.81,268.65,269.61,91620776,0.932,126463980,8.55099E+11
BRK-B,7/11/23,Financial Services,23.750317,343.59,343.02,344.07,259.85,341.23,341.13,2688687,1.287,2894880,7.49899E+11
META,7/11/23,Communication Services,82.45152,298.2,298.45,300.18,88.09,293.9,294.1,26587730,1.91,25815500,7.64437E+11
V,7/11/23,Financial Services,17.830027,241,240.06,240.7,174.6,238.81,238.16,3855989,1.082,5552600,5.03808E+11
UNH,7/11/23,Healthcare,-7.651025,463.5,462.89,558.1,445.68,462.37,463.05,3086179,0.718,3674920,4.30965E+11
LLY,7/11/23,Healthcare,36.261856,439.77,438.59,469.87,296.32,450,453.16,3569097,0.789,2720950,4.17101E+11
WMT,7/11/23,Consumer Defensive,23.354864,154.8,154.65,159.12,120.06,154.77,154.88,3799975,0.191,5214650,4.16448E+11
JPM,7/11/23,Financial Services,31.730854,147.84,147.42,147.82,101.28,146.335,145.15,11235426,NULL,NULL,NULL
JNJ,7/11/23,Healthcare,-9.581625,158.77,158.4,181.04,150.11,159.13,159.51,6606479,0.678,6079380,4.12237E+11
XOM,7/11/23,Energy,24.905704,105.95,105.89,119.92,80.69,105.26,104.69,12547902,1.072,13844900,4.28435E+11
MA,7/11/23,Financial Services,23.016977,398.19,397.2,398.46,276.87,393.62,392.16,2105561,0.768,2429330,3.76967E+11
PG,7/11/23,Consumer Defensive,1.6334891,147.98,147.86,158.11,122.18,148.73,148.86,4740060,0.344,6665450,3.4902E+11
AVGO,7/11/23,Technology,83.100494,882.05,880,921.78,415.07,881.11,877.73,2549460,1.942,2138310,3.64009E+11
ORCL,7/11/23,Technology,64.04398,114.9,114.88,127.54,60.78,114.195,113.98,6116827,0.775,7992870,3.11814E+11
HD,7/11/23,Consumer Cyclical,9.2206955,314.5,313.56,347.25,265.61,312.91,310.28,2883048,0.215,3379690,3.15347E+11
MRK,7/11/23,Healthcare,15.921938,108.94,108.69,119.65,84.52,109.48,109.96,6056552,0.95,6894200,2.7582E+11
CVX,7/11/23,Energy,14.588011,158.2,157.85,189.68,132.54,156,155.25,5047223,1.028,5995960,2.95597E+11
KO,7/11/23,Consumer Defensive,-4.584801,59.55,59.51,65.47,54.02,59.46,59.31,15958312,0.809,14014980,2.57399E+11
PEP,7/11/23,Consumer Defensive,8.159912,183.5,184,196.88,160.98,184.38,184.3,3914171,0.607,5335360,2.53467E+11
ABBV,7/11/23,Healthcare,-10.897141,135.73,135,168.11,130.96,134,134.49,5104083,0.659,6124920,2.39185E+11
COST,7/11/23,Consumer Defensive,7.6022863,529.99,529.51,564.75,447.9,527.5,527.01,1208863,0.511,1655180,2.34709E+11
