ticker,date,sector,52WeekChange,ask,bid,52WeekHigh,52WeekLow,dailyOpen,previousClose,dailyVolume,quickRatio,10DayAverageVolume,marketCap
BAC,7/11/23,Financial Services,-5.9014263,29.02,29,38.6,26.32,28.66,28.66,40878930,NULL,NULL,NULL
ADBE,7/11/23,Technology,35.704685,504.73,504,518.74,274.73,497.28,496.35,2841698,1.033,2522380,2.3006E+11
MCD,7/11/23,Consumer Cyclical,16.650177,295.9,294.42,299.1,230.58,295.29,294.49,1529219,1.251,2021690,2.15188E+11
CSCO,7/11/23,Technology,22.060894,52.11,52.02,52.56,38.6,51.57,51.4,14671234,1.107,14264520,2.12392E+11
CRM,7/11/23,Technology,35.28044,221.57,220.91,225,126.34,222.06,212.81,9977906,0.86,4720200,2.1542E+11
PFE,7/11/23,Healthcare,-30.44989,35.98,35.96,54.93,35.35,35.64,35.68,17691938,0.969,24911690,2.03344E+11
TMO,7/11/23,Healthcare,-0.7435739,522.5,518.69,611.06,475.77,516.3,516.85,1310779,0.805,1265950,2.00289E+11
NFLX,7/11/23,Communication Services,149.32602,440.21,439.7,450.97,169.7,438.65,441.71,4566645,1.065,5442620,1.95691E+11
ABT,7/11/23,Healthcare,1.2145758,107.96,107.3,115.69,93.25,107.02,107.02,3705142,1.07,4339080,1.86937E+11
AMD,7/11/23,Technology,43.601654,111.15,111.11,132.83,54.57,111.66,113.58,58664778,1.518,50858500,1.79265E+11
DHR,7/11/23,Healthcare,-5.344695,237.51,235,303.82,221.22,234.645,234.47,2603888,1.349,2570580,1.75376E+11
CMCSA,7/11/23,Communication Services,5.3410172,42.3,41.86,43.72,28.39,41.98,41.85,15236266,0.55,14197240,1.75133E+11
TMUS,7/11/23,Communication Services,3.7800193,140.8,139.19,154.38,124.92,137.92,138.34,3639371,0.603,3584430,1.68009E+11
NKE,7/11/23,Consumer Cyclical,2.169156,107.39,107.17,131.31,82.22,105.65,105.78,5454162,1.6,9033720,1.65057E+11
DIS,7/11/23,Communication Services,-3.71207,89.35,89.36,126.48,84.07,88.195,88.1,13680711,0.826,11651040,1.64528E+11
WFC,7/11/23,Financial Services,9.393394,42.76,42.71,48.84,35.25,42.35,42.32,15348247,NULL,NULL,NULL
TXN,7/11/23,Technology,15.898633,181,174.76,186.3,145.97,179.83,179.44,2615231,3.933,4258780,1.62307E+11
VZ,7/11/23,Communication Services,-30.726587,34.98,34.96,51.17,33.72,35.12,35.14,28286267,0.54,20125330,1.47098E+11
UPS,7/11/23,Industrials,4.1142106,185.59,184.8,209.39,154.87,181.93,181.33,2893847,1.228,3222720,1.591E+11
PM,7/11/23,Consumer Defensive,8.769989,98.57,98.53,105.62,82.85,98.11,97.75,3403682,0.306,3444100,1.53047E+11
NEE,7/11/23,Utilities,-10.054821,72.14,71.5,91.35,69.64,71.64,71.71,6622538,0.245,7121180,1.46071E+11
RTX,7/11/23,Industrials,6.7748666,98.06,98.05,104.91,80.27,97.1,97.48,6209067,0.715,3967270,1.43236E+11
MS,7/11/23,Financial Services,13.310218,84.89,85,100.99,72.05,83.9,83.4,11052186,1.67,7320820,1.41893E+11
INTC,7/11/23,Technology,-10.507929,33.4,33.31,40.73,24.59,32.82,32.74,26823536,1.152,32692900,1.38894E+11
HON,7/11/23,Industrials,22.157192,209.75,207.58,220.96,166.63,208.44,207.74,2801426,0.854,2367180,1.38947E+11
BMY,7/11/23,Healthcare,-15.752048,62.81,62.8,81.44,62.12,62.32,62.48,9327942,1.188,7719100,1.31912E+11
LOW,7/11/23,Consumer Cyclical,25.804688,229.98,229.4,231.27,176.5,231.27,229.12,2217232,0.176,2873460,1.34442E+11
QCOM,7/11/23,Technology,-13.8381,117.26,116.35,156.66,101.47,117.8,117.12,5783071,1.318,5977870,1.30193E+11
BA,7/11/23,Industrials,51.969433,218.8,218.61,223.91,120.99,212.915,213.31,7444306,0.294,4524770,1.31605E+11
AXP,7/11/23,Financial Services,25.279772,176.42,172.5,182.15,130.65,172.5,171.71,2261264,1.564,2463080,1.298E+11
SPGI,7/11/23,Financial Services,15.905499,398.74,391.18,405.65,279.32,396.98,398.43,877717,0.607,926810,1.27172E+11
INTU,7/11/23,Technology,20.972586,465.19,463.11,490.83,352.63,465.65,464.33,1145086,1.13,1406270,1.29864E+11
CAT,7/11/23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
UNP,7/11/23,Industrials,0.038707256,207.55,203.64,242.36,183.69,206,204.86,2101048,0.489,1978320,1.26079E+11
COP,7/11/23,Energy,29.274452,107.42,107.53,138.49,78.3,105,104.35,5648329,1.204,5237930,1.30009E+11
IBM,7/11/23,Technology,-1.9973755,134.55,134.25,153.21,115.55,133.66,132.9,2908321,0.982,3006540,1.22078E+11
AMAT,7/11/23,Technology,54.422985,138.49,137.58,146.69,71.12,140.18,140.56,7703794,1.372,5510360,1.15516E+11
AMGN,7/11/23,Healthcare,-9.401435,224.99,223.86,296.67,211.71,223.83,224.73,1828957,2.624,2341500,1.19614E+11
DE,7/11/23,Industrials,39.42988,415,413.51,448.4,288.34,410.41,407.09,1121842,1.722,1339300,1.21323E+11
GE,7/11/23,Industrials,129.75781,111.44,111.16,111.53,46.838406,110.73,110.53,3786574,0.802,4277860,1.21261E+11
LMT,7/11/23,Industrials,14.286768,467.16,465.5,508.1,373.67,461.27,460.38,687090,1.072,694070,1.18089E+11
ISRG,7/11/23,Healthcare,67.82639,341.47,337,344.08,180.07,340.92,340.27,1778796,4.398,1448530,1.18823E+11
PLD,7/11/23,Real Estate,2.037096,123.9,123.23,138.86,98.03,122.22,121.81,2354243,0.338,3180430,1.13789E+11
T,7/11/23,Communication Services,-25.525671,15.25,15.22,21.53,14.46,15.29,15.27,39157755,0.301,32405060,1.08879E+11
NOW,7/11/23,Technology,32.80034,561.99,558,576.68,337,567.21,565.6,1133746,1.045,962500,1.14388E+11
SYK,7/11/23,Healthcare,52.64703,300.21,292.47,306.93,188.84,295,295.3,794730,0.848,888820,1.1252E+11
SBUX,7/11/23,Consumer Cyclical,28.452253,100.11,100.07,115.48,75.73,99.44,99.13,5266856,0.508,6221410,1.14743E+11
GS,7/11/23,Financial Services,10.591078,320.91,320.36,389.58,277.84,318.83,316.47,2041509,1.54,2377850,1.06676E+11
ELV,7/11/23,Healthcare,-7.603407,437.42,429.77,549.52,428.73,431.79,432.42,1203066,1.304,1347420,1.031E+11
BLK,7/11/23,Financial Services,19.085144,719.03,699.73,785.65,503.12,699.92,696.17,497630,1.042,558560,1.06362E+11
SCHW,7/11/23,Financial Services,-6.450039,57.71,57.6,86.63,45,58,57.83,8428331,0.388,10473170,1.04798E+11
MDLZ,7/11/23,Consumer Defensive,14.394056,70.77,70.73,78.59,54.72,72,72.1,8281951,0.429,6649850,96541548544
BKNG,7/11/23,Consumer Cyclical,60.14683,2792.34,2775,2789.18,1616.85,2739.92,2728.83,278061,1.495,287440,1.02801E+11
TJX,7/11/23,Consumer Cyclical,43.43263,85.04,83.66,85.23,57.76,83.96,83.57,3483419,0.537,4084430,97386602496
GILD,7/11/23,Healthcare,21.869993,76.15,75.69,89.74,59.27,75.49,75.69,3475453,1.014,5031110,94948286464
ADI,7/11/23,Technology,27.991152,195.68,188.3,198.25,133.48,191.66,191.05,1936929,1.056,3017750,95745761280
MMC,7/11/23,Financial Services,23.29309,190.02,179,189.02,146.82,186.45,184.91,1116119,1.02,1324660,92463349760
ADP,7/11/23,Industrials,7.2535157,226.95,225.77,274.92,201.46,224.84,224.26,1221181,0.096,1495590,93522788352
AMT,7/11/23,Real Estate,-23.960613,195.16,194.09,282.47,178.17,193.64,193.55,1471789,0.382,1997950,90691969024
CVS,7/11/23,Healthcare,-23.734617,71.24,71.09,107.26,66.34,69.65,69.36,7040928,0.614,7734770,91370266624
VRTX,7/11/23,Healthcare,18.359709,342.4,341.44,354.94,271.61,342.63,344.46,896521,3.953,1039760,88015814656
C,7/11/23,Financial Services,2.2637367,46.58,46.49,54.56,40.01,45.8,45.67,14126513,NULL,NULL,NULL
UBER,7/11/23,Technology,106.32558,44.35,44.33,45.24,20.591,42.1,42.78,31714405,0.858,20802730,89777102848
LRCX,7/11/23,Technology,50.34101,618.81,618.81,651.01,299.59,628.55,627.64,1202617,1.943,1124880,83212877824
CI,7/11/23,Healthcare,2.9187202,288.17,275.46,340.11,240.5,279.35,278.34,903792,0.591,1129300,83358973952
HCA,7/11/23,Healthcare,74.05351,300.69,288.83,304.86,164.47,297.14,295.74,803739,0.87,1016670,81065975808
MO,7/11/23,Consumer Defensive,8.770264,45.66,45.61,48.11,40.35,44.95,44.95,7233548,0.625,8030210,81469227008
ABNB,7/11/23,Consumer Cyclical,43.810116,137.85,137.65,144.63,81.91,129.45,131.71,10028640,0.883,4888010,86685261824
ZTS,7/11/23,Healthcare,1.3884783,170.81,169.81,187.82,124.15,170.54,170.22,1079849,1.721,1431560,78623735808
PGR,7/11/23,Financial Services,12.561739,133.92,132.27,149.87,109.42,131.38,131.08,1920544,0.266,1741830,77372317696
PANW,7/11/23,Technology,52.143253,250.5,250.01,258.88,132.22,248.575,247.47,2664176,0.653,3666000,76534095872
FI,7/11/23,Technology,38.22793,127.16,127.27,127.66,89.26,126.93,126.89,1840149,0.233,2483890,78392197120
REGN,7/11/23,Healthcare,19.070793,727.73,706,837.55,563.82,707.94,703.36,521648,4.541,973480,78643421184
SO,7/11/23,Utilities,-0.6601095,70.74,70.73,80.57,60.71,70.16,70.14,2662639,0.321,3898160,77123993600
